gene,disease
ALOXE3,Autosomal Recessive Congenital Ichthyosis 3
ALOXE3,Autosomal Recessive Congenital Ichthyosis 2
ALPK1,"Retinal Dystrophy, Optic Nerve Edema, Splenomegaly, Anhidrosis, And Migraine Headache Syndrome"
ALPK3,"Cardiomyopathy, Familial Hypertrophic 27"
ALPL,Childhood Hypophosphatasia
ALPL,Adult Hypophosphatasia
ALPL,Infantile Hypophosphatasia
ALPL,Hypophosphatasia
ALS2,"Amyotrophic Lateral Sclerosis Type 2, Juvenile"
ALS2,Juvenile Primary Lateral Sclerosis
ALS2,Infantile-Onset Ascending Hereditary Spastic Paralysis
ALX1,Frontonasal Dysplasia - Severe Microphthalmia - Severe Facial Clefting Syndrome
ALX3,Frontorhiny
ALX4,Frontonasal Dysplasia With Alopecia And Genital Anomaly
ALX4,Parietal Foramina 2
ALX4,"Craniosynostosis 5, Susceptibility To"
AMACR,Alpha-Methylacyl-Coa Racemase Deficiency
AMACR,Congenital Bile Acid Synthesis Defect 4
AMBN,Amelogenesis Imperfecta Type 1F
AMELX,Amelogenesis Imperfecta Type 1E
AMER1,Osteopathia Striata With Cranial Sclerosis
AMFR,"Spastic Paraplegia 89, Autosomal Recessive"
AMH,Persistent Mullerian Duct Syndrome
AMHR2,Persistent Mullerian Duct Syndrome
AMMECR1,"Midface Hypoplasia, Hearing Impairment, Elliptocytosis, And Nephrocalcinosis"
AMN,Imerslund-Grasbeck Syndrome Type 2
AMOTL1,Craniofaciocardiohepatic Syndrome
AMPD1,Muscle Amp Deaminase Deficiency
AMPD2,Hereditary Spastic Paraplegia 63
AMPD2,Pontocerebellar Hypoplasia Type 9
AMPD3,Erythrocyte Amp Deaminase Deficiency
AMT,Glycine Encephalopathy 2
AMT,Glycine Encephalopathy
AMTN,Amelogenesis Imperfecta Type 3B
ANAPC1,Rothmund-Thomson Syndrome Type 1
ANAPC7,Ferguson-Bonni Neurodevelopmental Syndrome
ANG,Amyotrophic Lateral Sclerosis Type 9
ANGPT1,"Angioedema, Hereditary, 5"
ANGPT2,Lymphatic Malformation 10
ANGPTL3,Familial Hypobetalipoproteinemia 2
ANGPTL4,Plasma Triglyceride Level Quantitative Trait Locus
ANK1,Hereditary Spherocytosis Type 1
ANK2,"Cardiac Arrhythmia, Ankyrin-B-Related"
ANK3,Intellectual Disability-Hypotonia-Spasticity-Sleep Disorder Syndrome
ANKH,Chondrocalcinosis 2
ANKH,"Craniometaphyseal Dysplasia, Autosomal Dominant"
ANKLE2,"Microcephaly 16, Primary, Autosomal Recessive"
ANKRD1,Ankrd1-Related Dilated Cardiomyopathy
ANKRD1,Primary Dilated Cardiomyopathy
ANKRD11,Kbg Syndrome
ANKRD17,Chopra-Amiel-Gordon Syndrome
ANKRD26,Thrombocytopenia 2
ANKS6,Nephronophthisis
ANKS6,Nephronophthisis 16
ANLN,Focal Segmental Glomerulosclerosis 8
ANO1,Moyamoya Disease 7
ANO1,Intestinal Dysmotility Syndrome
ANO10,Autosomal Recessive Spinocerebellar Ataxia 10
ANO3,Dystonic Disorder
ANO3,Dystonia 24
ANO5,Miyoshi Muscular Dystrophy 3
ANO5,Gnathodiaphyseal Dysplasia
ANO5,Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2L
ANO6,Scott Syndrome
ANOS1,Hypogonadotropic Hypogonadism 7 With Or Without Anosmia
ANOS1,Hypogonadotropic Hypogonadism 1 With Or Without Anosmia
ANTXR1,Gapo Syndrome
ANTXR1,Capillary Infantile Hemangioma
ANTXR2,Hyaline Fibromatosis Syndrome
ANXA11,Amyotrophic Lateral Sclerosis Type 23
ANXA11,Inclusion Body Myopathy And Brain White Matter Abnormalities
ANXA5,"Pregnancy Loss, Recurrent, Susceptibility To, 3"
AOPEP,Dystonic Disorder
AOPEP,Dystonia 31
AP1B1,Autosomal Recessive Keratitis-Ichthyosis-Deafness Syndrome
AP1G1,"Usmani-Riazuddin Syndrome, Autosomal Dominant"
AP1G1,"Usmani-Riazuddin Syndrome, Autosomal Recessive"
AP1S1,Mednik Syndrome
AP1S2,Pettigrew Syndrome
AP1S3,"Psoriasis 15, Pustular, Susceptibility To"
AP2M1,Intellectual Developmental Disorder 60 With Seizures
AP2S1,Familial Hypocalciuric Hypercalcemia 3
AP3B1,Hermansky-Pudlak Syndrome 2
AP3B2,"Developmental And Epileptic Encephalopathy, 48"
AP3D1,Hermansky-Pudlak Syndrome 10
AP4B1,Hereditary Spastic Paraplegia 47
AP4E1,Hereditary Spastic Paraplegia 51
AP4E1,"Stuttering, Familial Persistent, 1"
AP4M1,Hereditary Spastic Paraplegia 50
AP4S1,Hereditary Spastic Paraplegia 52
AP5Z1,Hereditary Spastic Paraplegia 48
APC,"Desmoid Disease, Hereditary"
APC,Colorectal Cancer
APC,Familial Multiple Polyposis Syndrome
APC,Gastric Adenocarcinoma And Proximal Polyposis Of The Stomach
APC,Familial Adenomatous Polyposis 1
APC,Gastric Cancer
APC,Hepatocellular Carcinoma
APC2,"Cortical Dysplasia, Complex, With Other Brain Malformations 10"
APC2,"Intellectual Developmental Disorder, Autosomal Recessive 74"
APCDD1,Hypotrichosis 1
APOA1,"Hypoalphalipoproteinemia, Primary, 2, Intermediate"
APOA1,"Hypoalphalipoproteinemia, Primary, 2"
APOA1,"Familial Amyloid Polyneuropathy, Iowa Type"
APOA2,Apolipoprotein A-Ii Deficiency
APOA2,"Hypercholesterolemia, Familial, 1"
APOA4,"Tubulointerstitial Kidney Disease, Autosomal Dominant 6"
APOA5,Hypertriglyceridemia 1
APOA5,Familial Type 5 Hyperlipoproteinemia
APOB,"Hypercholesterolemia, Autosomal Dominant, Type B"
APOB,Familial Hypobetalipoproteinemia 1
APOB,Familial Hypercholesterolemia
APOC2,Familial Apolipoprotein C-Ii Deficiency
APOC3,Apolipoprotein C-Iii Deficiency
APOE,Familial Type 3 Hyperlipoproteinemia
APOE,Age Related Macular Degeneration 1
APOE,Alzheimer Disease 4
APOE,Alzheimer Disease 2
APOE,Sea-Blue Histiocyte Syndrome
APOE,Alzheimer Disease 3
APOE,Lipoprotein Glomerulopathy
APOL1,"Focal Segmental Glomerulosclerosis 4, Susceptibility To"
APOL2,Schizophrenia
APOLD1,"Bleeding Disorder, Vascular-Type"
APP,Alzheimer Disease
APP,"Cerebral Amyloid Angiopathy, App-Related"
APP,Alzheimer Disease Type 1
APPL1,Maturity-Onset Diabetes Of The Young Type 14
APRT,Adenine Phosphoribosyltransferase Deficiency
APTX,"Coenzyme Q10 Deficiency, Primary, 1"
APTX,"Ataxia, Early-Onset, With Oculomotor Apraxia And Hypoalbuminemia"
AQP1,Colton Blood Group System
AQP2,"Diabetes Insipidus, Nephrogenic, Autosomal"
AQP3,Gil Blood Group
AQP4,"Megalencephalic Leukoencephalopathy With Subcortical Cysts 4, Remitting"
AQP5,"Palmoplantar Keratoderma, Bothnian Type"
AQP7,Glycerol Quantitative Trait Locus
AR,Partial Androgen Insensitivity Syndrome
AR,"Hypospadias 1, X-Linked"
AR,Androgen Resistance Syndrome
AR,Kennedy Disease
AR,"Prostate Cancer, Hereditary, X-Linked 3"
ARCN1,"Short Stature, Rhizomelic, With Microcephaly, Micrognathia, And Developmental Delay"
ARF1,Periventricular Nodular Heterotopia 8
ARFGEF1,"Developmental Delay, Impaired Speech, And Behavioral Abnormalities, With Or Without Seizures"
ARFGEF2,"Periventricular Heterotopia With Microcephaly, Autosomal Recessive"
ARG1,Disorder Of The Urea Cycle Metabolism
ARG1,Arginase Deficiency
ARHGAP19,"Charcot-Marie-Tooth Disease, Axonal, Type 2Kk"
ARHGAP26,Juvenile Myelomonocytic Leukemia
ARHGAP31,Adams-Oliver Syndrome 1
ARHGDIA,"Nephrotic Syndrome, Type 8"
ARHGEF1,Immunodeficiency 62
ARHGEF10,Charcot-Marie-Tooth Disease
ARHGEF10,Autosomal Dominant Slowed Nerve Conduction Velocity
ARHGEF15,Brain Small Vessel Disease 5 With Osteoporosis
ARHGEF18,Retinitis Pigmentosa 78
ARHGEF2,Neurodevelopmental Disorder With Midbrain And Hindbrain Malformations
ARHGEF9,"Developmental And Epileptic Encephalopathy, 8"
ARID1A,"Intellectual Disability, Autosomal Dominant 14"
ARID1B,Coffin-Siris Syndrome 1
ARID2,Coffin-Siris Syndrome 6
ARL13B,Joubert Syndrome 8
ARL2,"Microcornea, Rod-Cone Dystrophy, Cataract, And Posterior Staphyloma 1"
ARL2BP,Retinitis Pigmentosa With Or Without Situs Inversus
ARL3,Retinitis Pigmentosa 83
ARL3,Joubert Syndrome 35
ARL6,Retinitis Pigmentosa 55
ARL6,Bardet-Biedl Syndrome 3
ARL6,Bardet-Biedl Syndrome 1
ARL6,Retinitis Pigmentosa
ARL6IP1,Hereditary Spastic Paraplegia 61
ARMC12,Spermatogenic Failure 90
ARMC2,Spermatogenic Failure 38
ARMC5,Acth-Independent Macronodular Adrenal Hyperplasia 2
ARMC9,Joubert Syndrome 30
ARMS2,Age Related Macular Degeneration 8
ARNT2,Webb-Dattani Syndrome
ARPC1B,Platelet Abnormalities With Eosinophilia And Immune-Mediated Inflammatory Disease
ARPC4,"Developmental Delay, Language Impairment, And Ocular Abnormalities"
ARPC5,Immunodeficiency 113 With Autoimmunity And Autoinflammation
ARR3,"Myopia 26, X-Linked, Female-Limited"
ARSA,Metachromatic Leukodystrophy
ARSB,Mucopolysaccharidosis Type 6
ARSG,"Usher Syndrome, Type 4"
ARSK,"Mucopolysaccharidosis, Type 10"
ARSL,X-Linked Chondrodysplasia Punctata 1
ART4,"Blood Group, Dombrock System"
ARV1,"Developmental And Epileptic Encephalopathy, 38"
