gene,disease
ASCC3,"Intellectual Developmental Disorder, Autosomal Recessive 81"
ASH1L,"Intellectual Disability, Autosomal Dominant 52"
ASIP,"Skin/Hair/Eye Pigmentation 9, Dark/Light Hair"
ASL,Argininosuccinate Lyase Deficiency
ASL,Disorder Of The Urea Cycle Metabolism
ASNS,Congenital Microcephaly - Severe Encephalopathy - Progressive Cerebral Atrophy Syndrome
ASPA,Spongy Degeneration Of Central Nervous System
ASPH,Facial Dysmorphism-Lens Dislocation-Anterior Segment Abnormalities-Spontaneous Filtering Blebs Syndrome
ASPM,"Microcephaly 5, Primary, Autosomal Recessive"
ASPN,Intervertebral Disc Disorder
ASPN,Osteoarthritis Susceptibility 3
ASPRV1,Autosomal Dominant Lamellar Ichthyosis
ASPSCR1,Alveolar Soft Part Sarcoma
ASS1,Disorder Of The Urea Cycle Metabolism
ASS1,Citrullinemia Type I
ASTL,Oocyte Maturation Defect 11
ASXL1,Myelodysplastic Syndrome
ASXL1,Bohring-Opitz Syndrome
ASXL2,Shashi-Pena Syndrome
ASXL3,Severe Feeding Difficulties-Failure To Thrive-Microcephaly Due To Asxl3 Deficiency Syndrome
ATAD1,Hyperekplexia 4
ATAD3A,"Pontocerebellar Hypoplasia, Hypotonia, And Respiratory Insufficiency Syndrome, Neonatal Lethal"
ATAD3A,Harel-Yoon Syndrome
ATCAY,Cayman Type Cerebellar Ataxia
ATF6,Achromatopsia
ATF6,Achromatopsia 7
ATG16L1,Inflammatory Bowel Disease 10
ATG4D,Spermatogenic Failure 101
ATG5,"Spinocerebellar Ataxia, Autosomal Recessive 25"
ATG7,"Spinocerebellar Ataxia, Autosomal Recessive 31"
ATIC,Aica-Ribosiduria
ATL1,Hereditary Spastic Paraplegia 3A
ATL1,"Neuropathy, Hereditary Sensory, Type 1D"
ATL3,"Neuropathy, Hereditary Sensory, Type 1F"
ATM,Ataxia-Telangiectasia Syndrome
ATM,Familial Cancer Of Breast
ATN1,"Congenital Hypotonia, Epilepsy, Developmental Delay, And Digital Anomalies"
ATN1,Dentatorubral-Pallidoluysian Atrophy
ATOH1,"Hearing Loss, Autosomal Dominant 89"
ATOH7,"Persistent Hyperplastic Primary Vitreous, Autosomal Recessive"
ATP11A,"Hearing Loss, Autosomal Dominant 84"
ATP11A,"Auditory Neuropathy, Autosomal Dominant 2"
ATP11A,"Leukodystrophy, Hypomyelinating, 24"
ATP11C,X-Linked Congenital Hemolytic Anemia
ATP13A2,Autosomal Recessive Spastic Paraplegia Type 78
ATP13A2,Kufor-Rakeb Syndrome
ATP1A1,"Hypomagnesemia, Seizures, And Intellectual Disability 2"
ATP1A1,"Charcot-Marie-Tooth Disease, Axonal, Type 2Dd"
ATP1A2,"Migraine, Familial Hemiplegic, 2"
ATP1A2,Alternating Hemiplegia Of Childhood 1
ATP1A2,"Fetal Akinesia, Respiratory Insufficiency, Microcephaly, Polymicrogyria, And Dysmorphic Facies"
ATP1A2,Developmental And Epileptic Encephalopathy 98
ATP1A3,Alternating Hemiplegia Of Childhood 2
ATP1A3,Cerebellar Ataxia-Areflexia-Pes Cavus-Optic Atrophy-Sensorineural Hearing Loss Syndrome
ATP1A3,Dystonia 12
ATP1A3,Developmental And Epileptic Encephalopathy 99
ATP1B1,"Essential Hypertension, Genetic"
ATP2A1,Brody Myopathy
ATP2A2,Acrokeratosis Verruciformis Of Hopf
ATP2A2,Keratosis Follicularis
ATP2A2,"Rhabdomyolysis, Susceptibility To, 2"
ATP2B1,"Intellectual Developmental Disorder, Autosomal Dominant 66"
ATP2B2,"Hearing Loss, Autosomal Dominant 82"
ATP2B3,X-Linked Progressive Cerebellar Ataxia
ATP2C1,Familial Benign Pemphigus
ATP5F1A,Combined Oxidative Phosphorylation Deficiency 22
ATP5F1A,"Mitochondrial Complex V (Atp Synthase) Deficiency, Nuclear Type 4A"
ATP5F1A,"Mitochondrial Complex V (Atp Synthase) Deficiency, Nuclear Type 4B"
ATP5F1B,Hypermetabolism Due To Uncoupled Mitochondrial Oxidative Phosphorylation 2
ATP5F1B,"Dystonia 38, Susceptibility To"
ATP5F1D,"Mitochondrial Complex V (Atp Synthase) Deficiency, Nuclear Type 5"
ATP5F1E,"Mitochondrial Complex V (Atp Synthase) Deficiency, Nuclear Type 3"
ATP5MC3,"Dystonia, Early-Onset, And/Or Spastic Paraplegia"
ATP5MK,"Mitochondrial Complex 5 (Atp Synthase) Deficiency, Nuclear Type 6"
ATP5PO,"Mitochondrial Complex V (Atp Synthase) Deficiency, Nuclear Type 7"
ATP6AP1,Immunodeficiency 47
ATP6AP2,Syndromic X-Linked Intellectual Disability Hedera Type
ATP6AP2,"Congenital Disorder Of Glycosylation, Type Iir"
ATP6AP2,X-Linked Parkinsonism-Spasticity Syndrome
ATP6V0A1,Developmental And Epileptic Encephalopathy 104
ATP6V0A1,Neurodevelopmental Disorder With Epilepsy And Brain Atrophy
ATP6V0A2,Cutis Laxa With Osteodystrophy
ATP6V0A2,Wrinkly Skin Syndrome
ATP6V0A4,"Renal Tubular Acidosis, Distal, 3, With Or Without Sensorineural Hearing Loss"
ATP6V0C,"Epilepsy, Early-Onset, 3, With Or Without Developmental Delay"
ATP6V1A,Autosomal Recessive Cutis Laxa Type 2D
ATP6V1A,Developmental And Epileptic Encephalopathy 93
ATP6V1B1,Renal Tubular Acidosis With Progressive Nerve Deafness
ATP6V1B2,Autosomal Dominant Deafness - Onychodystrophy Syndrome
ATP6V1B2,Zimmermann-Laband Syndrome 2
ATP6V1E1,Autosomal Recessive Cutis Laxa Type 2C
ATP7A,Menkes Kinky-Hair Syndrome
ATP7A,X-Linked Distal Spinal Muscular Atrophy Type 3
ATP7A,"Cutis Laxa, X-Linked"
ATP7A,Charcot-Marie-Tooth Disease
ATP7B,Wilson Disease
ATP8A2,"Cerebellar Ataxia, Intellectual Disability, And Dysequilibrium Syndrome 4"
ATP8B1,"Cholestasis, Intrahepatic, Of Pregnancy, 1"
ATP8B1,Benign Recurrent Intrahepatic Cholestasis Type 1
ATP8B1,Progressive Familial Intrahepatic Cholestasis Type 3
ATP8B1,Progressive Familial Intrahepatic Cholestasis Type 1
ATP9A,Neurodevelopmental Disorder With Poor Growth And Behavioral Abnormalities
ATPAF2,"Mitochondrial Complex V (Atp Synthase) Deficiency, Nuclear Type 1"
ATR,Familial Cutaneous Telangiectasia And Oropharyngeal Predisposition Cancer Syndrome
ATR,Seckel Syndrome 1
ATRX,"Intellectual Disability-Hypotonic Facies Syndrome, X-Linked, 1"
ATRX,Alpha Thalassemia-X-Linked Intellectual Disability Syndrome
ATRX,Acquired Hemoglobin H Disease
ATXN1,Spinocerebellar Ataxia Type 1
ATXN10,Spinocerebellar Ataxia Type 10
ATXN2,Spinocerebellar Ataxia Type 2
ATXN2,"Parkinson Disease, Late-Onset"
ATXN3,"Parkinson Disease, Late-Onset"
ATXN3,Azorean Disease
ATXN7,Spinocerebellar Ataxia 7
ATXN7L3,Harel-Tora Neurodevelopmental Syndrome
ATXN8,Spinocerebellar Ataxia Type 8
ATXN8OS,Spinocerebellar Ataxia Type 8
ATXN8OS,"Parkinson Disease, Late-Onset"
AUH,3-Methylglutaconic Aciduria Type 1
AURKA,Colorectal Cancer
AURKC,Infertility Associated With Multi-Tailed Spermatozoa And Excessive Dna
AUTS2,Autism Spectrum Disorder Due To Auts2 Deficiency
AVIL,"Nephrotic Syndrome, Type 21"
AVP,Neurohypophyseal Diabetes Insipidus
AVPR2,"Diabetes Insipidus, Nephrogenic, X-Linked"
AVPR2,Nephrogenic Syndrome Of Inappropriate Antidiuresis
AXIN1,Hepatocellular Carcinoma
AXIN1,Craniometadiaphyseal Osteosclerosis With Hip Dysplasia
AXIN1,Caudal Duplication
AXIN2,Colorectal Cancer
AXIN2,Oligodontia-Cancer Predisposition Syndrome
AXL,Hypogonadotropic Hypogonadism 7 With Or Without Anosmia
B2M,"Amyloidosis, Hereditary Systemic 6"
B2M,"Hypoproteinemia, Hypercatabolic"
B3GALNT1,"Blood Group, P1Pk System"
B3GALNT1,"Blood Group, Globoside System"
B3GALNT2,"Muscular Dystrophy-Dystroglycanopathy (Congenital With Brain And Eye Anomalies), Type A, 11"
B3GALT6,Al-Gazali Syndrome
B3GALT6,"Spondyloepimetaphyseal Dysplasia With Joint Laxity, Type 1, With Or Without Fractures"
B3GALT6,"Ehlers-Danlos Syndrome, Spondylodysplastic Type, 2"
B3GAT3,"Larsen-Like Syndrome, B3Gat3 Type"
B3GLCT,Peters Plus Syndrome
B4GALNT1,Hereditary Spastic Paraplegia 26
B4GALNT2,"Blood Group, Sid System"
B4GALT1,Combined Low Ldl And Fibrinogen
B4GALT1,B4Galt1-Congenital Disorder Of Glycosylation
B4GALT7,"Ehlers-Danlos Syndrome, Spondylodysplastic Type, 1"
B4GAT1,"Muscular Dystrophy-Dystroglycanopathy (Congenital With Brain And Eye Anomalies), Type A13"
B9D1,"Meckel Syndrome, Type 9"
B9D1,Joubert Syndrome 27
B9D2,"Meckel Syndrome, Type 10"
BAAT,Bile Acid Conjugation Defect 1
BACH2,Immunodeficiency 60
BAG3,"Neuronopathy, Distal Hereditary Motor, Autosomal Dominant 15"
BAG3,"Charcot-Marie-Tooth Disease, Axonal, Type 2Jj"
BAG3,Charcot-Marie-Tooth Disease
BAG3,Primary Dilated Cardiomyopathy
BAG3,Myofibrillar Myopathy 6
BAG3,Dilated Cardiomyopathy 1Hh
BAG5,"Cardiomyopathy, Dilated, 2F"
BAIAP2,Developmental And Epileptic Encephalopathy 120
BANF1,Nestor-Guillermo Progeria Syndrome
BAP1,Kury-Isidor Syndrome
BAP1,Bap1-Related Tumor Predisposition Syndrome
BAP1,"Melanoma, Uveal, Susceptibility To, 2"
BARD1,Familial Cancer Of Breast
BAX,Colorectal Cancer
BAX,Acute Lymphoid Leukemia
BBIP1,Bardet-Biedl Syndrome 18
BBS1,Bardet-Biedl Syndrome
BBS1,Bardet-Biedl Syndrome 1
BBS10,Bardet-Biedl Syndrome 10
BBS12,Bardet-Biedl Syndrome 12
BBS2,Retinitis Pigmentosa 74
BBS2,Bardet-Biedl Syndrome 2
BBS4,Bardet-Biedl Syndrome 4
BBS4,Bardet-Biedl Syndrome
BBS5,Bardet-Biedl Syndrome 5
BBS7,Bardet-Biedl Syndrome 7
BBS9,Bardet-Biedl Syndrome 9
BCAM,Blood Group--Lutheran System
BCAM,Lulu Phenotype
BCAP31,Severe Motor And Intellectual Disabilities-Sensorineural Deafness-Dystonia Syndrome
BCAS3,Hengel-Maroofian-Schols Syndrome
BCAT2,Hypervalinemia And Hyperleucine-Isoleucinemia
BCHE,Deficiency Of Butyrylcholinesterase
BCKDHA,Maple Syrup Urine Disease Type 1A
BCKDHA,Maple Syrup Urine Disease
BCKDHB,Maple Syrup Urine Disease
BCKDHB,Maple Syrup Urine Disease Type 1B
BCKDK,Branched-Chain Keto Acid Dehydrogenase Kinase Deficiency
BCL10,Germ Cell Tumor Of Testis
BCL10,Immunodeficiency 37
BCL10,"Lymphoma, Non-Hodgkin, Familial"
BCL10,"Mesothelioma, Malignant"
BCL10,Mucosa-Associated Lymphoma
BCL11A,Dias-Logan Syndrome
BCL11B,"Intellectual Developmental Disorder With Speech Delay, Dysmorphic Facies, And T-Cell Abnormalities"
BCL11B,Immunodeficiency 49
BCO1,Hereditary Hypercarotenemia And Vitamin A Deficiency
BCOR,"Microphthalmia, Syndromic 1"
BCOR,Oculofaciocardiodental Syndrome
BCORL1,Shukla-Vernon Syndrome
BCR,"Chronic Myelogenous Leukemia, Bcr-Abl1 Positive"
BCR,Acute Lymphoid Leukemia
BCS1L,Leigh Syndrome (Nuclear Dna Mutation)
BCS1L,Gracile Syndrome
BCS1L,Pili Torti-Deafness Syndrome
BCS1L,Mitochondrial Complex Iii Deficiency Nuclear Type 1
BDP1,"Hearing Loss, Autosomal Recessive 112"
BEAN1,Spinocerebellar Ataxia Type 31
BEST1,Autosomal Dominant Vitreoretinochoroidopathy
BEST1,Vitelliform Macular Dystrophy 2
BEST1,Retinitis Pigmentosa 50
BEST1,Autosomal Recessive Bestrophinopathy
BET1,"Muscular Dystrophy, Congenital, With Rapid Progression"
BFSP1,Cataract 33
BFSP2,Cataract 12 Multiple Types
BGN,Meester-Loeys Syndrome
BGN,X-Linked Spondyloepimetaphyseal Dysplasia
BGN,Familial Thoracic Aortic Aneurysm And Aortic Dissection
BHLHA9,"Camptosynpolydactyly, Complex"
BHLHA9,Mesoaxial Synostotic Syndactyly With Phalangeal Reduction
BHLHE41,"Short Sleep, Familial Natural, 1"
BICC1,"Renal Dysplasia, Cystic, Susceptibility To"
BICD2,"Spinal Muscular Atrophy, Lower Extremity-Predominant, 2B, Prenatal Onset, Autosomal Dominant"
BICD2,Autosomal Dominant Childhood-Onset Proximal Spinal Muscular Atrophy With Contractures
BICRA,Coffin-Siris Syndrome 12
BIN1,"Myopathy, Centronuclear, 2"
BLK,Maturity-Onset Diabetes Of The Young Type 11
BLM,Bloom Syndrome
BLNK,"Agammaglobulinemia 4, Autosomal Recessive"
BLOC1S3,Hermansky-Pudlak Syndrome 8
BLOC1S5,Hermansky-Pudlak Syndrome 11
BLOC1S6,Hermansky-Pudlak Syndrome 9
BLTP1,Alkuraya-Kucinskas Syndrome
BLVRA,Hyperbiliverdinemia
BMP1,Osteogenesis Imperfecta Type 13
BMP15,Ovarian Dysgenesis 2
BMP2,"Short Stature, Facial Dysmorphism, And Skeletal Anomalies With Or Without Cardiac Anomalies 1"
BMP2,Type A2 Brachydactyly
BMP2,Hemochromatosis Type 1
BMP4,Orofacial Cleft 11
BMP4,Microphthalmia With Brain And Digit Anomalies
BMP4,Anophthalmia-Microphthalmia Syndrome
BMP6,"Iron Overload, Susceptibility To"
BMPER,Diaphanospondylodysostosis
BMPR1A,"Polyposis Syndrome, Hereditary Mixed, 2"
BMPR1A,Juvenile Polyposis Syndrome
BMPR1B,Acromesomelic Dysplasia 3
BMPR1B,Type A2 Brachydactyly
BMPR1B,Brachydactyly Type A1D
BMPR2,"Pulmonary Hypertension, Primary, 1"
BMPR2,Pulmonary Venoocclusive Disease 1
BMS1,Aplasia Cutis Congenita
BNC1,Premature Ovarian Failure 16
BNC2,"Lower Urinary Tract Obstruction, Congenital"
BNIP1,"Spondyloepiphyseal Dysplasia, Holling Type"
BOLA3,Multiple Mitochondrial Dysfunctions Syndrome 2
BORCS8,"Neurodegeneration, Infantile-Onset, With Optic Atrophy And Brain Abnormalities"
BPGM,Deficiency Of Bisphosphoglycerate Mutase
BPNT2,"Chondrodysplasia With Joint Dislocations, Gpapp Type"
BPTF,Neurodevelopmental Disorder With Dysmorphic Facies And Distal Limb Anomalies
BPTF,"Kaposi Sarcoma, Susceptibility To"
BPY2,"Spermatogenic Failure, Y-Linked, 2"
BRAF,"Melanoma, Cutaneous Malignant, Susceptibility To, 1"
BRAF,Vemurafenib Response
BRAF,Noonan Syndrome 7
BRAF,Cetuximab Response
BRAF,Panitumumab Response
BRAF,Leopard Syndrome 3
BRAF,Dabrafenib Response
BRAF,Lung Cancer
BRAF,Colorectal Cancer
BRAF,Cardiofaciocutaneous Syndrome 1
BRAF,Noonan Syndrome 1
BRAT1,Neurodevelopmental Disorder With Cerebellar Atrophy And With Or Without Seizures
BRAT1,Neonatal-Onset Encephalopathy With Rigidity And Seizures
BRCA1,"Breast-Ovarian Cancer, Familial, Susceptibility To, 1"
BRCA1,"Fanconi Anemia, Complementation Group S"
BRCA1,"Pancreatic Cancer, Susceptibility To, 4"
BRCA1,Familial Cancer Of Breast
BRCA2,Familial Cancer Of Breast
BRCA2,Glioma Susceptibility 3
BRCA2,Familial Prostate Cancer
BRCA2,Medulloblastoma
BRCA2,"Breast-Ovarian Cancer, Familial, Susceptibility To, 2"
BRCA2,"Pancreatic Cancer, Susceptibility To, 2"
BRCA2,Fanconi Anemia Complementation Group D1
BRCA2,Wilms Tumor 1
BRD4,De Lange Syndrome
BRD4,Cornelia De Lange Syndrome 6
BRDT,Spermatogenic Failure 21
BRF1,Cerebellar-Facial-Dental Syndrome
BRIP1,Familial Cancer Of Breast
BRIP1,Fanconi Anemia Complementation Group J
BRWD1,"Ciliary Dyskinesia, Primary, 51"
BRWD3,"Intellectual Disability, X-Linked 93"
BSCL2,Severe Neurodegenerative Syndrome With Lipodystrophy
BSCL2,Hereditary Spastic Paraplegia 17
BSCL2,Congenital Generalized Lipodystrophy Type 2
BSCL2,"Neuronopathy, Distal Hereditary Motor, Type 5C"
BSG,Blood Group--Ok
BSND,Bartter Disease Type 4A
BTD,Biotinidase Deficiency
BTG4,Oocyte Maturation Defect 8
BTK,X-Linked Agammaglobulinemia
BTK,X-Linked Agammaglobulinemia With Growth Hormone Deficiency
BTNL2,"Sarcoidosis, Susceptibility To, 2"
BUB1,Colorectal Cancer
BUB1,"Microcephaly 30, Primary, Autosomal Recessive"
BUB1B,Colorectal Cancer
BUB1B,Premature Chromatid Separation Trait
BUB1B,Mosaic Variegated Aneuploidy Syndrome 1
BUD13,Achalasia-Progeroid Syndrome
C10ORF71,"Cardiomyopathy, Dilated, 1Qq"
C12ORF57,Temtamy Syndrome
C14ORF39,Spermatogenic Failure 52
C14ORF39,Premature Ovarian Failure 18
C18ORF32,Glycosylphosphatidylinositol Biosynthesis Defect 25
C19ORF12,Neurodegeneration With Brain Iron Accumulation
C19ORF12,Hereditary Spastic Paraplegia 43
C19ORF12,Neurodegeneration With Brain Iron Accumulation 4
C1GALT1C1,Polyagglutinable Erythrocyte Syndrome
C1GALT1C1,"Hemolytic Uremic Syndrome, Atypical, 8, With Rhizomelic Short Stature"
C1QA,C1Q Deficiency 1
C1QB,C1Q Deficiency 2
C1QBP,Combined Oxidative Phosphorylation Deficiency 33
C1QC,C1Q Deficiency 3
C1QTNF5,Late-Onset Retinal Degeneration
C1R,"Ehlers-Danlos Syndrome, Periodontal Type 1"
C1S,Complement Component C1S Deficiency
C1S,"Ehlers-Danlos Syndrome, Periodontal Type 2"
C2,Age Related Macular Degeneration 14
C2,Complement Component 2 Deficiency
C2CD3,Orofaciodigital Syndrome Type 14
C2ORF69,Combined Oxidative Phosphorylation Deficiency 53
C3,Atypical Hemolytic-Uremic Syndrome With C3 Anomaly
C3,Age Related Macular Degeneration 9
C3,Complement Component 3 Deficiency
C3,"Mesangiocapillary Glomerulonephritis, Type Ii"
C3ORF52,Hypotrichosis 15
C4A,"Blood Group, Chido/Rodgers System"
C4A,Complement Component 4A Deficiency
C5,Complement Component 5 Deficiency
C5,"Eculizumab, Poor Response To"
C6,Complement Component 6 Deficiency
C7,Complement Component 7 Deficiency
C8A,Type I Complement Component 8 Deficiency
C8B,Type Ii Complement Component 8 Deficiency
C9,Complement Component 9 Deficiency
C9,Age Related Macular Degeneration 15
C9ORF72,Amyotrophic Lateral Sclerosis
C9ORF72,Frontotemporal Dementia And/Or Amyotrophic Lateral Sclerosis 1
CA12,Isolated Hyperchlorhidrosis
CA2,Osteopetrosis With Renal Tubular Acidosis
CA5A,Hyperammonemic Encephalopathy Due To Carbonic Anhydrase Va Deficiency
CA8,"Cerebellar Ataxia, Intellectual Disability, And Dysequilibrium Syndrome 3"
CABP2,Autosomal Recessive Nonsyndromic Hearing Loss 93
CABP4,"Cone-Rod Synaptic Disorder, Congenital Nonprogressive"
CACNA1A,Episodic Ataxia Type 2
CACNA1A,"Migraine, Familial Hemiplegic, 1"
CACNA1A,Spinocerebellar Ataxia Type 6
CACNA1A,"Developmental And Epileptic Encephalopathy, 42"
CACNA1B,Neurodevelopmental Disorder With Seizures And Nonepileptic Hyperkinetic Movements
CACNA1C,"Neurodevelopmental Disorder With Hypotonia, Language Delay, And Skeletal Defects With Or Without Seizures"
CACNA1C,Timothy Syndrome
CACNA1C,Brugada Syndrome 3
CACNA1C,Long Qt Syndrome 8
CACNA1D,Sinoatrial Node Dysfunction And Deafness
CACNA1D,Aldosterone-Producing Adenoma With Seizures And Neurological Abnormalities
CACNA1E,"Developmental And Epileptic Encephalopathy, 69"
CACNA1F,X-Linked Cone-Rod Dystrophy 3
CACNA1F,Congenital Stationary Night Blindness 2A
CACNA1F,Aland Island Eye Disease
CACNA1G,Spinocerebellar Ataxia Type 42
CACNA1G,"Spinocerebellar Ataxia 42, Early-Onset, Severe, With Neurodevelopmental Deficits"
CACNA1H,"Hyperaldosteronism, Familial, Type Iv"
CACNA1H,"Epilepsy, Childhood Absence, Susceptibility To, 6"
CACNA1I,Neurodevelopmental Disorder With Speech Impairment And With Or Without Seizures
CACNA1S,"Hypokalemic Periodic Paralysis, Type 1"
CACNA1S,"Malignant Hyperthermia, Susceptibility To, 5"
CACNA1S,Congenital Myopathy 18
CACNA1S,"Thyrotoxic Periodic Paralysis, Susceptibility To, 1"
CACNA2D1,Developmental And Epileptic Encephalopathy 110
CACNA2D2,Cerebellar Atrophy With Seizures And Variable Developmental Delay
CACNA2D4,Retinal Cone Dystrophy 4
CACNB2,Brugada Syndrome 4
CACNB4,Episodic Ataxia Type 5
CACNB4,"Epilepsy, Idiopathic Generalized, Susceptibility To, 9"
CACNG2,"Intellectual Disability, Autosomal Dominant 10"
CAD,"Developmental And Epileptic Encephalopathy, 50"
CADM3,"Charcot-Marie-Tooth Disease, Axonal, Type 2Ff"
CALCR,Osteoporosis
CALCRL,Lymphatic Malformation 8
CALM1,Long Qt Syndrome 14
CALM1,Catecholaminergic Polymorphic Ventricular Tachycardia 4
CALM2,Long Qt Syndrome 15
CALM3,Long Qt Syndrome 16
CALR,Thrombocythemia 1
CALR,Primary Myelofibrosis
CAMK2A,"Intellectual Disability, Autosomal Recessive 63"
CAMK2A,"Intellectual Disability, Autosomal Dominant 53"
CAMK2B,"Intellectual Disability, Autosomal Dominant 54"
CAMK2G,Intellectual Developmental Disorder 59
CAMLG,"Congenital Disorder Of Glycosylation, Type Iiz"
CAMSAP1,"Cortical Dysplasia, Complex, With Other Brain Malformations 12"
CAMTA1,Cerebellar Dysfunction With Variable Cognitive And Behavioral Abnormalities
CANT1,"Epiphyseal Dysplasia, Multiple, 7"
CANT1,Desbuquois Dysplasia 1
CAP2,"Cardiomyopathy, Dilated, 2I"
CAPN1,Autosomal Recessive Spastic Paraplegia Type 76
CAPN10,"Diabetes Mellitus, Noninsulin-Dependent, 1"
CAPN15,Oculogastrointestinal-Neurodevelopmental Syndrome
CAPN3,Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2A
CAPN3,"Muscular Dystrophy, Limb-Girdle, Autosomal Dominant 4"
CAPN5,Proliferative Vitreoretinopathy
CAPNS1,"Pulmonary Hypertension, Primary, 6"
CAPRIN1,"Neurodevelopmental Disorder With Language Impairment, Autism, And Attention Deficit-Hyperactivity Disorder"
CAPRIN1,"Neurodegeneration, Childhood-Onset, With Cerebellar Ataxia And Cognitive Decline"
CARD10,Immunodeficiency 89 And Autoimmunity
CARD11,Severe Combined Immunodeficiency Due To Card11 Deficiency
CARD11,Immunodeficiency 11B With Atopic Dermatitis
CARD11,Benta Disease
CARD14,Psoriasis 2
CARD14,Pityriasis Rubra Pilaris
CARD8,Inflammatory Bowel Disease 30
CARD9,Predisposition To Invasive Fungal Disease Due To Card9 Deficiency
CARMIL2,Severe Combined Immunodeficiency Due To Carmil2 Deficiency
CARS1,"Microcephaly, Developmental Delay, And Brittle Hair Syndrome"
CARS2,Combined Oxidative Phosphorylation Defect Type 27
CARTPT,Inherited Obesity
CASK,X-Linked Intellectual Disability With Or Without Nystagmus
CASK,"Anemia, Nonspherocytic Hemolytic, Due To G6Pd Deficiency"
CASK,Fg Syndrome 4
CASK,Syndromic X-Linked Intellectual Disability Najm Type
CASP10,"Lymphoma, Non-Hodgkin, Familial"
CASP10,Autoimmune Lymphoproliferative Syndrome Type 2A
CASP10,Gastric Cancer
CASP14,Congenital Ichthyosis Of Skin
CASP14,"Ichthyosis, Congenital, Autosomal Recessive 12"
CASP2,"Intellectual Developmental Disorder, Autosomal Recessive 80, With Variant Lissencephaly"
CASP8,Hepatocellular Carcinoma
CASP8,Familial Cancer Of Breast
CASP8,Autoimmune Lymphoproliferative Syndrome Type 2B
CASP8,Lung Cancer
CASQ1,Myopathy Due To Calsequestrin And Serca1 Protein Overload
CASQ2,Catecholaminergic Polymorphic Ventricular Tachycardia 2
CASQ2,Catecholaminergic Polymorphic Ventricular Tachycardia 1
CASR,"Epilepsy, Idiopathic Generalized, Susceptibility To, 8"
CASR,Familial Hypocalciuric Hypercalcemia 1
CASR,Neonatal Severe Primary Hyperparathyroidism
CASR,Autosomal Dominant Hypocalcemia 1
CAST,Peeling Skin-Leukonuchia-Acral Punctate Keratoses-Cheilitis-Knuckle Pads Syndrome
CAT,Acatalasia
CATIP,Spermatogenic Failure 54
CATSPER1,Spermatogenic Failure 7
CATSPER2,Spermatogenic Failure 7
CATSPER2,Deafness-Infertility Syndrome
CATSPERT,Spermatogenic Failure 68
CAV1,Congenital Generalized Lipodystrophy Type 3
CAV1,"Pulmonary Hypertension, Primary, 3"
CAV1,"Partial Lipodystrophy, Congenital Cataracts, And Neurodegeneration Syndrome"
CAV3,"Distal Myopathy, Tateyama Type"
CAV3,Long Qt Syndrome 9
CAV3,Rippling Muscle Disease 2
CAV3,Hypertrophic Cardiomyopathy 1
CAV3,"Creatine Phosphokinase, Elevated Serum"
CAVIN1,Congenital Generalized Lipodystrophy Type 4
CBFB,Cleidocranial Dysplasia 2
CBL,Cbl-Related Disorder
CBL,Juvenile Myelomonocytic Leukemia
CBLB,"Autoimmune Disease, Multisystem, Infantile-Onset, 3"
CBLIF,Hereditary Intrinsic Factor Deficiency
